A01	Badanie ogolne moczu (profil)
A03	Badanie plynu mozgowo-rdzeniowego
A05	Badanie plynu z jamy ciala (oplucnej, otrzewnej)
A07	Bialko w moczu
A09	Bilirubina w moczu
A11	Ciala ketonowe w moczu
A12	Ciezar wlasciwy moczu
A13	Erytrocyty/ hemoglobina w moczu
A14	Leukocyty w moczu
A15	Glukoza w moczu
A17	Krew utajona w kale
A19	Osad moczu
A21	Pasozyty/ jaja pasozytow w kale
A23	Resztki pokarmowe w kale
A25	Urobilinogen w moczu
C01	Erytroblasty
C02	Erytrocyty – liczba
C03	Erytrocyty – opornosc osmotyczna
C05	Erytrocyty – proba Hama
C07	Erytrocyty – proba sacharozowa
C09	Erytrogram
C10	Inne antygeny grupowe krwinek czerwonych
C11	Fosfataza zasadowa granulocytow
C13	Granulocyty – badanie aktywnosci fagocytarnej
C15	Granulocyty zasadochlonne – test bezposredniej degranulacji
C19	Hemoglobina, rozdzial
C21	Leukocyty – badanie aktywnosci peroksydazy (POX)
C23	Leukocyty – badanie aktywnosci esterazy nieswoistej
C27	Leukocyty – badanie immunofenotypowe komorek blastycznych
C29	Leukocyty – barwienie sudanem czarnym B
C30	Leukocyty – liczba
C31	Leukocyty – reakcja PAS
C32	Leukocyty – obraz odsetkowy
C33	Limfadenogram
C35	Limfoblasty
C37	Limfocyty B
C39	Limfocyty BCD5+
C41	Limfocyty T
C43	Limfocyty TCD4+
C45	Limfocyty TCD8+
C47	Metamielocyty
C49	Mieloblasty
C51	Mielogram
C53	Morfologia krwi 8-parametrowa
C55	Morfologia krwi, z pelnym roznicowaniem granulocytow
C57	Objetosc krwi krazacej
C59	Odczyn opadania krwinek czerwonych
C61	Plytki krwi - badanie adhezji
C63	Plytki krwi - badanie agregacji
C65	Plytki krwi - czas przezycia
C66	Plytki krwi – liczba
C67	Promielocyty
C69	Retykulocyty
C71	Splenogram
C73	Test hamowania migracji makrofagow
E05	Badanie w kierunku nieregularnych przeciwcial
E20	Proba zgodnosci serologicznej
E21	Diagnostyka konfliktu matczyno-plodowego
E31	Kwalifikacja do podania immunoglobuliny anty-Rh(D) 
E64	Diagnostyka niedokrwistosci autoimmunohemolitycznej
